Name,Source,Status,ErrorMessage
(Preview) TI map Domain entity to Dns Events (ASIM DNS Schema),Sentinel,Succeeded,
(Preview) TI map Domain entity to Web Session Events (ASIM Web Session schema),Sentinel,Succeeded,
(Preview) TI map IP entity to DNS Events (ASIM DNS schema),Sentinel,Succeeded,
(Preview) TI map IP entity to Network Session Events (ASIM Network Session schema),Sentinel,Succeeded,
(Preview) TI map IP entity to Web Session Events (ASIM Web Session schema),Sentinel,Succeeded,
A client made a web request to a potentially harmful file (ASIM Web Session schema),Sentinel,Error,"{""error"":{""code"":""BadRequest"",""message"":""LogAnalyticsSyntaxError; Message: {\""error\"":{\""message\"":\""The request had some invalid properties\"",\""code\"":\""BadArgumentError\"",\""correlationId\"":\""991ef9bd-aa47-4300-8b70-ca422dea40d5\"",\""innererror\"":{\""code\"":\""SyntaxError\"",\""message\"":\""Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that, sorry. [line:position=0:0]\""}}};""}}"
A host is potentially running a crypto miner (ASIM Web Session schema),Sentinel,Succeeded,
A host is potentially running a hacking tool (ASIM Web Session schema),Sentinel,Succeeded,
A host is potentially running PowerShell to send HTTP(S) requests (ASIM Web Session schema),Sentinel,Cannot Find,Unable to find rule template A host is potentially running PowerShell to send HTTP(S) requests (ASIM Web Session schema).  Should be a Sentinel type
A potentially malicious web request was executed against a web server,Sentinel,Error,"{""error"":{""code"":""BadRequest"",""message"":""FailedToResolveColumn; Message: {\""error\"":{\""message\"":\""The request had some invalid properties\"",\""code\"":\""BadArgumentError\"",\""correlationId\"":\""ed2f64ef-0b3e-46c1-9048-c9ced4fe3459\"",\""innererror\"":{\""code\"":\""SemanticError\"",\""message\"":\""A semantic error occurred.\"",\""innererror\"":{\""code\"":\""SEM0100\"",\""message\"":\""'where' operator: Failed to resolve column or scalar expression named 'action_s'\""}}}};""}}"
AAD Local Device Join Information and Transport Key Registry Keys Access,Sentinel,Succeeded,
Accessed files shared by temporary external user,Sentinel,Succeeded,
Account added and removed from privileged groups,Sentinel,Succeeded,
Account Created and Deleted in Short Timeframe,Sentinel,Succeeded,
Account created from non-approved sources,Sentinel,Succeeded,
Account created or deleted by non-approved user,Sentinel,Succeeded,
Account Elevated to New Role,Sentinel,Succeeded,
ACTINIUM Actor IOCs - Feb 2022,Sentinel,Succeeded,
ACTINIUM AV hits - Feb 2022,Sentinel,Error,"{""error"":{""code"":""BadRequest"",""message"":""Error in EntityMappings: The given column 'FileHashType' does not exist.""}}"
AD account with Don't Expire Password,Sentinel,Succeeded,
AD FS Abnormal EKU object identifier attribute,Sentinel,Succeeded,
AD FS Remote Auth Sync Connection,Sentinel,Succeeded,
AD FS Remote HTTP Network Connection,Sentinel,Succeeded,
AD user enabled and password not set within 48 hours,Sentinel,Succeeded,
Addition of a Temporary Access Pass to a Privileged Account,Sentinel,Error,"{""error"":{""code"":""BadRequest"",""message"":""Failed to run the analytics rule query. One of the tables does not exist.""}}"
ADFS Database Named Pipe Connection,Sentinel,Succeeded,
ADFS DKM Master Key Export,Sentinel,Succeeded,
Admin promotion after Role Management Application Permission Grant,Sentinel,Succeeded,
AdminSDHolder Modifications,Sentinel,Succeeded,
"Alert for  IOCs related to Windows/ELF malware - IP, Hash IOCs - September 2021",Sentinel,Succeeded,
Anomalous login followed by Teams action,Sentinel,Succeeded,
Anomalous sign-in location by user account and authenticating application,Sentinel,Succeeded,
Anomalous User Agent connection attempt,Sentinel,Succeeded,
Anomolous Single Factor Signin,Sentinel,Succeeded,
